,dataset,folder,best_epoch,auc_max,aupr_maxauc,rmse_maxauc,spearman_maxauc,spearman_maxauc,epoch_maxaupr,aupr_max,auc_maxaupr,rmse_maxaupr,spearman_maxaupr,epoch_minrmse,rmse_min,auc_minrmse,aupr_minrmse,spearman_minrmse
0,train,1,2,0.974728916,0.972820752,0.546061983,0.818235368,"SignificanceResult(statistic=0.8182353678252913, pvalue=0.0)",2,0.972820752,0.974728916,0.546061983,"SignificanceResult(statistic=0.8182353678252913, pvalue=0.0)",1,0.544995892,0.973712171,0.97236944,"SignificanceResult(statistic=0.8187313023935873, pvalue=0.0)"
1,vali,1,2,0.769055095,0.212018327,1.021227083,0.412079207,"SignificanceResult(statistic=0.4120792072208008, pvalue=1.1900817925243544e-143)",2,0.212018327,0.769055095,1.021227083,"SignificanceResult(statistic=0.4120792072208008, pvalue=1.1900817925243544e-143)",1,0.967794478,0.767682889,0.20719698,"SignificanceResult(statistic=0.4148485388329483, pvalue=9.404131888453185e-146)"
2,train,2,4,0.970495243,0.970008726,0.573232112,0.802101542,"SignificanceResult(statistic=0.8021015422475862, pvalue=0.0)",6,0.970700594,0.970734586,0.572478971,"SignificanceResult(statistic=0.8022616360128454, pvalue=0.0)",0,0.576594486,0.970618559,0.97027562,"SignificanceResult(statistic=0.8031222336929893, pvalue=0.0)"
3,vali,2,4,0.780709335,0.260875493,0.911890761,0.453449096,"SignificanceResult(statistic=0.4534490960024726, pvalue=2.6671703767859305e-177)",6,0.261160552,0.777115219,0.894866384,"SignificanceResult(statistic=0.45868658644773397, pvalue=6.824074126051076e-182)",0,0.886765764,0.779101028,0.259557518,"SignificanceResult(statistic=0.4530747150298744, pvalue=5.639318170678304e-177)"
4,train,3,7,0.965594674,0.96496499,0.583492767,0.79131661,"SignificanceResult(statistic=0.7913166099448241, pvalue=0.0)",2,0.96531272,0.966163506,0.588903918,"SignificanceResult(statistic=0.7867009911847346, pvalue=0.0)",12,0.579265067,0.965860303,0.965102456,"SignificanceResult(statistic=0.7934372391154856, pvalue=0.0)"
5,vali,3,7,0.790822071,0.291329168,0.835613234,0.512378617,"SignificanceResult(statistic=0.5123786173281755, pvalue=6.8909396343938e-234)",2,0.293391429,0.789953588,0.840617905,"SignificanceResult(statistic=0.5022189216335252, pvalue=2.5268771670368866e-223)",12,0.825156947,0.789841918,0.291721948,"SignificanceResult(statistic=0.5269752122618607, pvalue=1.0450967254153081e-249)"
6,train,4,14,0.962243218,0.961594399,0.582536745,0.798824335,"SignificanceResult(statistic=0.7988243348689492, pvalue=0.0)",7,0.96216423,0.96242856,0.588020288,"SignificanceResult(statistic=0.7952400636435027, pvalue=0.0)",10,0.585883848,0.961968995,0.961447315,"SignificanceResult(statistic=0.7959236307738569, pvalue=0.0)"
7,vali,4,14,0.753202004,0.243289101,0.847811595,0.451367601,"SignificanceResult(statistic=0.45136760072036064, pvalue=1.6936662512019733e-175)",7,0.243425627,0.751893097,0.830220402,"SignificanceResult(statistic=0.4813274329270936, pvalue=1.084044042387197e-202)",10,0.828908503,0.749811493,0.242004492,"SignificanceResult(statistic=0.48660102038370645, pvalue=9.148024997449575e-208)"
8,train,5,0,0.960315376,0.959471819,0.587444745,0.784800926,"SignificanceResult(statistic=0.7848009263469126, pvalue=0.0)",10,0.958900072,0.959942876,0.580737812,"SignificanceResult(statistic=0.7885095663562104, pvalue=0.0)",13,0.578072339,0.960086378,0.959186348,"SignificanceResult(statistic=0.7902632047739286, pvalue=0.0)"
9,vali,5,0,0.782887076,0.275549834,0.822081216,0.537655261,"SignificanceResult(statistic=0.5376552609385967, pvalue=8.797118445491872e-262)",10,0.275737372,0.782845396,0.832399273,"SignificanceResult(statistic=0.5172134676726036, pvalue=4.827884014452754e-239)",13,0.811557258,0.778606649,0.271300262,"SignificanceResult(statistic=0.5253774300856718, pvalue=6.146962018207436e-248)"
10,train,6,13,0.958420822,0.956603967,0.575913104,0.789216305,"SignificanceResult(statistic=0.7892163052765793, pvalue=0.0)",7,0.956623796,0.958657415,0.58273598,"SignificanceResult(statistic=0.7840805393508434, pvalue=0.0)",1,0.589018601,0.958869138,0.956748819,"SignificanceResult(statistic=0.7804351148237244, pvalue=0.0)"
11,vali,6,13,0.803111916,0.295943627,0.827634603,0.494389975,"SignificanceResult(statistic=0.4943899751406089, pvalue=2.008707422178308e-215)",7,0.296972648,0.801661118,0.815542196,"SignificanceResult(statistic=0.5102449422775458, pvalue=1.2209744323220388e-231)",1,0.803750381,0.795985462,0.292552511,"SignificanceResult(statistic=0.5200258986396996, pvalue=4.434521200795182e-242)"
12,train,7,3,0.95781562,0.955836669,0.576433857,0.785237266,"SignificanceResult(statistic=0.7852372662568613, pvalue=0.0)",11,0.955863451,0.957607482,0.571001185,"SignificanceResult(statistic=0.7883131642873827, pvalue=0.0)",10,0.571553873,0.958458007,0.95672353,"SignificanceResult(statistic=0.7878707523747096, pvalue=0.0)"
13,vali,7,3,0.805469153,0.270659534,0.795207934,0.564230477,"SignificanceResult(statistic=0.5642304769355179, pvalue=8.65726890563782e-294)",11,0.272767142,0.803940373,0.801670753,"SignificanceResult(statistic=0.5543996060272699, pvalue=1.3049199235584389e-281)",10,0.786111505,0.802571343,0.270305206,"SignificanceResult(statistic=0.5713684116203692, pvalue=6.835618202684397e-303)"
14,train,8,4,0.955082637,0.952188156,0.578209196,0.782362876,"SignificanceResult(statistic=0.7823628764971122, pvalue=0.0)",4,0.952188156,0.955082637,0.578209196,"SignificanceResult(statistic=0.7823628764971122, pvalue=0.0)",7,0.576200046,0.954975723,0.952150339,"SignificanceResult(statistic=0.7832269084288646, pvalue=0.0)"
15,vali,8,4,0.802993734,0.311143344,0.824932707,0.496597601,"SignificanceResult(statistic=0.4965976014232389, pvalue=1.2472636270830108e-217)",4,0.311143344,0.802993734,0.824932707,"SignificanceResult(statistic=0.4965976014232389, pvalue=1.2472636270830108e-217)",7,0.820364821,0.800569015,0.306838479,"SignificanceResult(statistic=0.514765253669956, pvalue=2.0148476180062536e-236)"
16,train,9,1,0.953498483,0.950205174,0.590017807,0.769401002,"SignificanceResult(statistic=0.7694010023347941, pvalue=0.0)",8,0.951293693,0.954202116,0.583040261,"SignificanceResult(statistic=0.7745479439114911, pvalue=0.0)",1,0.590017807,0.953498483,0.950205174,"SignificanceResult(statistic=0.7694010023347941, pvalue=0.0)"
17,vali,9,1,0.814849322,0.326261968,0.784051861,0.589832317,"SignificanceResult(statistic=0.589832317485703, pvalue=0.0)",8,0.32658872,0.813615725,0.792364035,"SignificanceResult(statistic=0.5819041002095005, pvalue=9.62098e-317)",1,0.784051861,0.814849322,0.326261968,"SignificanceResult(statistic=0.589832317485703, pvalue=0.0)"
